"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"FDR"
"AANAT"	21.245371995686	20.5967227648435	22.0913062460472	0.808061934223958	-0.307462221745117	0.00458614110825761	0.00915576910614179
"AAR2"	2779.24502656851	2901.57223384769	2619.71230924129	0.98806715929926	-0.0173189892159927	0.531927258592805	0.610390282249768
"AARD"	52.6501605270142	55.5972613590481	48.8067064465276	0.948473124612174	-0.0763212000466666	0.635500384663663	0.706832651785116
"AARS"	8642.87540303323	8642.15230362199	8643.81843129765	0.894562750755639	-0.160745408553506	0.000285474245694148	0.000714007555664797
"AARS2"	1284.94475900404	1357.78624000085	1189.9487261833	1.02112390323673	0.0301579335415711	0.420591861245596	0.499988258792884
"AARSD1"	280.259095745462	282.405830587697	277.459436941993	0.899201454658377	-0.153283725446484	0.00421669486476808	0.00847787109946283
"AASDH"	661.411619621965	737.814576534898	561.77089701201	1.17709495510946	0.235230705881801	3.56528695898938e-10	2.18814441890578e-09
"AASDHPPT"	3090.65374869323	3427.45343289234	2651.41729418472	1.15714037648356	0.210563893116088	2.9338762348916e-08	1.35584096659245e-07
"AASS"	634.210505149172	701.764172048341	546.110561681592	1.18510363235026	0.245013222280157	0.000912117087251215	0.00209273097532029
"AATBC"	42.0047394818559	41.3898037758858	42.806706324204	0.864305475533835	-0.210386793901574	0.0315907582017908	0.0519892159397524
"AATF"	3562.09256965907	3718.8145777175	3357.70396007134	0.99612999500263	-0.00559406854992178	0.881619933626607	0.918242748612675
"AATK"	360.106307937164	398.552770885506	309.966450728036	1.109254126537	0.14958992013888	0.0543277236771882	0.084429809327856
"ABALON"	46.6952332194392	48.0699982574615	44.90233687953	0.990711763343116	-0.0134627126333217	0.852865196763758	0.894941689545729
"ABAT"	1525.57656066137	1540.19804258078	1506.50799207524	0.924920623340291	-0.112598535990389	0.269667892404775	0.342789594784644
"ABCA1"	7498.44123327397	8440.59156635525	6269.73826432464	1.23542180046294	0.305003694070326	8.0940856826038e-06	2.62409720017013e-05
"ABCA10"	111.688090423823	114.4692905155	108.060995373387	0.892890592564296	-0.16344468464146	0.10345624544035	0.148971841967602
"ABCA11P"	59.2414599324955	58.6741037999313	59.9813759947796	0.847745766805101	-0.238296419676214	0.000472690243232926	0.00114164450786164
"ABCA12"	564.397671408948	595.258017515075	524.151229252108	1.11678036533844	0.159345482156373	0.230906567894659	0.299733778352565
"ABCA13"	19.6117239009729	12.8728514024311	28.4002073898546	0.446630384831671	-1.16284669201443	5.15298582256925e-10	3.08647783273753e-09
"ABCA17P"	148.288381351889	127.710247827676	175.125302030932	0.629756510014483	-0.667133964204833	8.99193921511804e-07	3.35219054235971e-06
"ABCA2"	4957.84640756509	5201.83720139831	4639.64643219734	0.98582433498508	-0.0205975006412815	0.693768095474376	0.758131494423499
"ABCA3"	4170.84560683238	4352.10027996221	3934.46278427135	0.987822356505194	-0.0176764745672508	0.77455084925545	0.828194371158725
"ABCA4"	104.337412946308	84.9517063065797	129.619233126229	0.649525741343327	-0.622541392659212	0.000115270623722999	0.000308518062133438
"ABCA5"	1798.53032928541	1949.3457751611	1601.84474779775	1.04762406788905	0.0671211093461224	0.277149111685517	0.350818747920919
"ABCA6"	292.304275805945	242.404022679163	357.381564445942	0.621872264098057	-0.685309821408394	2.34439921391935e-06	8.25309714614379e-06
"ABCA7"	764.467088333075	677.071967552517	878.443213590669	0.65529731033677	-0.609778484678868	9.41481264626625e-16	1.21077369171487e-14
"ABCA8"	467.056376255589	499.620476945136	424.587986877055	1.0598944463042	0.0839205955658219	0.509525973119266	0.588978708373258
"ABCA9"	150.028917610568	147.794312803424	152.943171806059	0.87334205161283	-0.195381286947956	0.0804874603712947	0.119329813626138
"ABCA9.AS1"	1.87752245178589	1.77368619460588	2.01294024340775	0.785676767746828	-0.347992193955844	0.0334542990088371	0.0546981488251183
"ABCB1"	2464.80730276971	2646.59079561618	2227.73482131554	1.10205669618662	0.14019844641653	0.254862731887443	0.326384840269085
"ABCB10"	1426.39093122123	1624.31086432325	1168.2741521066	1.27151662088636	0.346550320630927	3.63189199088604e-16	4.90878875399756e-15
"ABCB11"	8.12929008946402	5.2588225164406	11.8728030994439	0.289578994825815	-1.78797113735466	6.58422199830246e-10	3.89497283876302e-09
"ABCB4"	380.858501985181	407.577351152666	346.013182563992	1.04046032160852	0.0572219483408026	0.639878167225743	0.710794452583518
"ABCB5"	139.590812972979	41.388457467217	267.661166005838	0.168624512290032	-2.56811382439147	1.03065794416361e-18	1.93862229805824e-17
"ABCB6"	688.148652955049	709.662942714235	660.090846494912	0.960734488774501	-0.0577903159737347	0.426843629466104	0.506309971529882
"ABCB7"	1551.19467265663	1761.77831284189	1276.56255204637	1.24587177376298	0.317155592538744	1.85304342337871e-13	1.80178745941598e-12
"ABCB8"	1657.90719128556	1526.77218286503	1828.92658014737	0.730051801339578	-0.453929259820361	1.03052889327726e-18	1.93862229805824e-17
"ABCB9"	322.688789478215	289.723773577745	365.680031412928	0.68255537013483	-0.550982010058169	2.95294156920429e-13	2.79008375376871e-12
"ABCC1"	4925.66447662404	4908.60771652397	4947.90900707712	0.920429319506475	-0.119621154748997	0.0313086180468906	0.0515805676574786
"ABCC10"	992.360079504408	951.953057839831	1045.05679439415	0.806142591019291	-0.310893048737343	3.38730154764816e-12	2.72998376466549e-11
"ABCC11"	24.0536664678595	22.3026522083536	26.3372472763396	0.763953085503698	-0.388444050067884	0.0018355653165169	0.00398190036117253
"ABCC12"	1.75231390792967	0.670527041784599	3.16312350755665	0.226551766644161	-2.14208735389776	1.42207028685103e-12	1.21091890813325e-11
"ABCC13"	5.86061801168549	4.88628253400876	7.13129515538373	0.592439874498808	-0.75525934959195	0.000927025144933961	0.00212294240456293
"ABCC2"	2337.1154802189	2574.88342831637	2027.03101334523	1.10438710403374	0.143245946737288	0.249156931230954	0.320170265699782
"ABCC3"	12152.3584341407	12481.3721238448	11723.2760646188	0.94569314918342	-0.0805559493397946	0.373186082630687	0.451308564509901
"ABCC4"	4494.2697606355	5204.13449874468	3568.50146162675	1.36056515515545	0.444206046458144	8.61143838307347e-08	3.72754880754898e-07
"ABCC5"	2152.92373476973	2073.56695577912	2256.41667695564	0.805866382238496	-0.311387444300661	8.03441454165169e-06	2.60752397443308e-05
