"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"FDR"
"ABCD4"	2982.50095435998	3081.51537377646	2667.28991273136	1.02139380425622	0.0305392128452297	0.551675573391713	0.636133539181559
"ABCE1"	3341.98062024935	3530.54865274004	2741.67688378816	1.15841827292037	0.212156264822842	4.78528571608058e-07	2.1373458500458e-06
"ABCF1"	4401.43083285184	4538.4411134067	3965.26049016801	1.02693588275808	0.0383461091005257	0.41012854089096	0.498703876966349
"ABCF2"	2951.30058312762	2993.4340426562	2817.16929453662	0.96585808549922	-0.0501168668895101	0.281479892309768	0.364567302992648
"ABCF3"	3014.52167374159	3036.01591952679	2946.09503807679	0.914135395510039	-0.12952023161236	0.000154689354979669	0.000445115855518274
"ABCG1"	4741.81874648649	5094.00574913208	3620.63627017438	1.22660465899733	0.29467033587241	2.59160167579248e-05	8.6585475873231e-05
"ABCG2"	1362.13853022591	1571.35816547021	696.090700595005	2.02461921556603	1.01765059566545	1.77323314253633e-15	3.24009292217444e-14
"ABCG4"	35.6212606867019	35.4687391497394	36.1068109007016	0.847106238649532	-0.239385180393219	0.00740953185898364	0.0149625808485858
"ABCG5"	22.666572770194	23.4101408042554	20.299434166347	0.953092460244088	-0.0693119169901438	0.582948527472222	0.66442591594329
"ABCG8"	9.1476978272271	10.448162943481	5.00768502594177	1.63087265484965	0.705644134968552	0.0217058267373695	0.0392451900307468
"ABHD1"	111.760600556054	119.773690096349	86.2510402763994	1.21301826977383	0.27860127965349	0.0137684534888181	0.0260827737673306
"ABHD10"	2733.13333193269	2933.95620792401	2093.81646983185	1.24215334920683	0.312843291499923	3.85928746890525e-06	1.48152914384599e-05
"ABHD11"	1754.24565492075	1723.87948840572	1850.91592813833	0.826660992400096	-0.274632282848124	0.000735888568551725	0.00185213427405219
"ABHD12"	4368.47656108844	4281.63932634811	4644.92170287648	0.812245993660885	-0.300011372294226	7.74684574868551e-10	5.42145865992346e-09
"ABHD12B"	42.0461687583239	44.0734558445409	35.592328217798	1.08473375905087	0.117340985866867	0.211234040059725	0.286658821900041
"ABHD13"	1225.3750430785	1311.254447922	951.979139585883	1.23108020227022	0.299924753413263	5.51339066864594e-12	5.49896478954564e-11
"ABHD14A"	606.357493541893	577.38491626823	698.591294587407	0.729533644037654	-0.454953582176628	4.79140990907404e-12	4.82622775151817e-11
