"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"AATBC"	41.8474288458144	44.3189332523724	40.9942519821806	0.924536339989605	-0.113198067315855	0.319710290791403	0.424160086185422
"AATF"	3452.82295691928	3538.84232698007	3423.12859903528	0.967307332360551	-0.0479537600676734	0.243508315421489	0.338244120036515
"AATK"	340.624023482254	270.472061540661	364.840865138804	1.34945826239167	0.432380356151381	6.45242932825194e-07	3.26830826027989e-06
"ABALON"	43.8878702008107	46.5184881268067	42.9797664784121	0.919699341546751	-0.120765787360821	0.124974632892874	0.193092835814332
"ABAT"	1421.35444860336	1515.62929275895	1464.05415929171	1.12827563432709	0.174119556832207	0.119914603384048	0.186531999171398
"ABCA1"	7102.53562752192	7565.69424216542	6942.65073589157	0.917640462778703	-0.123999087401167	0.121346525812696	0.188384581842334
"ABCA10"	108.387260348946	117.649559879938	105.189863798521	0.895486733696903	-0.159256035508575	0.168052820372643	0.24805296507087
"ABCA11P"	57.8857599192347	67.1313878804502	54.694118486048	0.81539306055321	-0.294432416142912	0.000144952746217917	0.000458222066683297
"ABCA12"	544.10619365815	563.117095475549	537.54352618146	0.954611891208302	-0.0670137873256576	0.658161873567212	0.745752587136313
"ABCA13"	21.0238117464921	27.7636184257735	18.6971935503566	0.671996923371982	-0.573473467011518	0.0116126541041344	0.024114498429102
"ABCA17P"	148.902538185605	239.642076659595	117.578752301433	0.490354041304962	-1.02810432688747	8.25264659490967e-12	1.02131006331764e-10
"ABCA2"	4765.4270372627	5073.21323245254	4659.17755618347	0.918362163180362	-0.122864891153967	0.0384153107140138	0.069336084264011
"ABCA3"	4102.64309789809	5416.23414851186	3649.18426946704	0.673760901550644	-0.569691383815075	8.03016774432616e-18	2.95072873742889e-16
"ABCA4"	57.8955361798484	44.2420388670464	124.903009338087	1.78553778395119	0.836358663267159	8.2102758468308e-10	7.11829346077812e-09
"ABCA5"	1728.22296260923	1693.86809041639	1740.08245273607	1.02730091639596	0.0388588369660554	0.584304652653912	0.682747775342446
"ABCA6"	221.20631778306	329.025680088286	204.006174364153	0.753087103399644	-0.409111355653916	0.00821462253089473	0.0177491586791619
"ABCA7"	758.277126024049	968.242763321303	685.795837532395	0.708191246947749	-0.497789082368805	1.63507805286999e-08	1.11322791635641e-07
"ABCA8"	421.125804175507	336.439583933122	450.359951437262	1.33845295076968	0.42056642632702	0.00329530280392039	0.00785523132903829
"ABCA9"	135.269205327284	153.25723037627	129.059640515854	0.842832557800974	-0.246682049751159	0.0502558144336207	0.0875384008020167
"ABCA9.AS1"	1.75127465616529	1.92459237089383	1.6914444313549	0.876605727860931	-0.18999998922858	0.353507229164311	0.460404176218593
"ABCB1"	2329.33361413272	2376.77973407101	2312.95495355129	0.97314278916723	-0.0392765878157702	0.77753599008926	0.841888149735121
"ABCB10"	1339.23893676244	1251.82761747141	1369.41380314784	1.09358905846424	0.129070713731134	0.00689573555505744	0.0151639298258256
"ABCB11"	2.12171072377426	26.272936945415	2.08649309338691	0.935244550506952	-0.0965844403978164	0.669981824205474	0.755637643935256
"ABCB4"	371.251542155657	419.817786202439	354.486208594302	0.844503220782762	-0.243825169671882	0.0807132219038339	0.132651697499364
"ABCB5"	18.6844517209761	36.5169918035692	157.616126856461	1.11089376170815	0.151720853823861	0.526940384190792	0.630623883878292
"ABCB6"	683.190555238186	748.964064627531	660.485179394193	0.882043419316529	-0.181078419500443	0.0260346543174652	0.049139001222575
"ABCB7"	1448.17627433985	1192.49238481169	1536.43975401259	1.28790256395989	0.365023450743559	2.18504998860989e-15	5.34983297427251e-14
"ABCB8"	1626.45338311547	2055.14533445294	1478.46657251678	0.719367313593849	-0.475199486689278	1.03685626700549e-15	2.66828663854125e-14
"ABCB9"	336.353470322117	434.187703862956	302.580556825827	0.696872454928647	-0.521033463872564	8.24641340415869e-09	5.93155725568166e-08
"ABCC1"	4672.96616765849	5412.41426451373	4417.70463285367	0.816209353822522	-0.292988850799507	1.56695455400443e-06	7.3705381013254e-06
"ABCC10"	945.857914123153	1095.05407739403	894.354581048823	0.816713918290861	-0.292097280825731	2.93957774170085e-08	1.91566848404259e-07
"ABCC11"	21.1442741221415	36.2591850107044	19.9641088498556	0.813586647490596	-0.297632092876286	0.0224271079705335	0.0431575091812477
"ABCC12"	0.876584827785575	3.7836779700965	1.2324563763755	0.44701894941574	-1.16159210542806	8.74844355989807e-05	0.000288543369784709
