"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"AASDH"	645.262662303366	554.428632162302	673.795542088311	1.21502577025929	0.280986913198133	6.16598563454834e-13	7.45681458698695e-12
"AASDHPPT"	2990.12104655048	2597.76122052382	3113.36952216116	1.19829957723955	0.260988629802913	2.16347813064986e-10	1.71158003590466e-09
"AASS"	599.183610949707	488.176356763067	634.053324800841	1.2988762160022	0.37726394728385	5.94912876352485e-06	2.21902871703331e-05
"AATBC"	41.7399974677506	49.491113616295	39.3052088216661	0.795369727242503	-0.330302442460424	0.00446371819749317	0.00965087073406437
"AATF"	3475.96405479373	3727.40787650448	3396.98026065404	0.911314706734639	-0.133978745095607	0.00124009639717775	0.00300969744801128
"AATK"	352.252727101217	353.881194543673	351.741191218716	0.994273181448334	-0.0082858010746987	0.928345413644792	0.961749199775801
"ABALON"	42.3573061490635	41.943724642162	42.4872208010874	1.00484308937121	0.00697023587210187	0.922399144096502	0.959638356464282
"ABAT"	1458.03983448323	1054.17342545747	1584.90276988326	1.50329607465029	0.588129176495615	2.56136539800751e-07	1.2138995602294e-06
"ABCA1"	7249.72379430316	6817.43594948052	7385.51450060192	1.08333987042763	0.115485922963082	0.150851970733919	0.223121106734835
"ABCA10"	109.252894880143	122.562910753451	105.071938885357	0.857891050065728	-0.221133654050979	0.0646991291351769	0.106377621217952
"ABCA11P"	57.8523036747952	63.1171666716247	56.1984994481254	0.891455074647983	-0.165766000588068	0.0396212165790436	0.0687274180619333
"ABCA12"	556.147732084699	563.685791831606	553.779868936536	0.982335066004373	-0.0257128955897023	0.871557234461246	0.932134761556499
"ABCA13"	18.9474579931424	34.5192105381646	14.0560429285676	0.403993562372997	-1.30759579103542	8.45134545830304e-09	5.1119044438433e-08
"ABCA17P"	149.046300636644	225.146030662646	125.141774490148	0.555659503821641	-0.847726993639061	1.88894315709084e-07	9.1100813664425e-07
"ABCA2"	4894.55106097945	5010.45644550358	4858.14274134506	0.969606801052837	-0.0445282766346783	0.485038968865389	0.603265282034554
"ABCA3"	4122.14200130576	4460.76114634175	4015.77460416188	0.900253677841705	-0.151596506561058	0.0287025345886964	0.0516645622596534
"ABCA4"	58.047944935361	82.59663815123	83.5262528047528	0.608168263035857	-0.717457562891294	3.46121461920723e-07	1.6021848629706e-06
"ABCA5"	1758.90680760951	1523.07431698862	1832.98675423105	1.20367293822524	0.26744343653262	0.000187151211596892	0.000529082137743064
"ABCA6"	234.328317605254	227.806559687489	267.167973637059	1.03795190630758	0.0537395977044701	0.748052084477669	0.8428688061987
"ABCA7"	755.992965967587	1069.91477096772	657.38352289838	0.614557279380732	-0.702380612641971	7.64916635976404e-15	1.28550864255643e-13
"ABCA8"	449.057402890046	324.188772680123	488.281266558293	1.50588033698802	0.590607132497901	6.87923484397969e-05	0.000211572735789412
"ABCA9"	141.846504309027	169.954666949923	133.017139099063	0.782995425260901	-0.352924216454944	0.00766202863395257	0.0157413676886377
"ABCA9.AS1"	1.73336764438591	2.23393388174006	1.57612925858878	0.719865769851805	-0.474200176141908	0.0235824702654106	0.0432013191297382
"ABCB1"	2293.73027565309	1982.11442241001	2391.61537076403	1.20656252090352	0.270902674161618	0.0527340821261015	0.0887419355602237
"ABCB10"	1393.74738153428	1153.55147524315	1469.19796881306	1.27318793786363	0.348445394110696	8.3265908571681e-14	1.17323030192393e-12
"ABCB11"	2.11549118743839	2.58416565347424	4.01679901045116	0.769665435444497	-0.377696635464744	0.104369935101985	0.161809370493099
"ABCB4"	367.328058678828	343.055059539487	374.952718350841	1.09299751357509	0.128290119072971	0.377353798511861	0.48927301950253
"ABCB5"	21.6403808733298	276.998292731571	91.65439417613	0.538514667769319	-0.892942454240689	0.000758200391921363	0.00191870143343633
"ABCB6"	682.343298351858	766.107487164673	656.031204459648	0.856358991015555	-0.223712384725672	0.00936726304762997	0.0188602840798143
"ABCB7"	1496.90641457991	1214.10203909185	1585.74121840757	1.30577450568761	0.384905779262334	2.47521376439766e-16	5.480082286476e-15
"ABCB8"	1612.19471207917	1929.0528909962	1512.6628921888	0.783959593823937	-0.351148796786759	2.96400251588336e-08	1.63792616641215e-07
"ABCB9"	324.56514815063	478.012238604198	276.364188901527	0.577873999073633	-0.791173136293126	5.26023918525662e-19	1.83947481512172e-17
"ABCC1"	4750.67348056147	4972.51780743854	4680.98751044734	0.941367906171659	-0.0871694264748728	0.175443900940031	0.254596775206391
"ABCC10"	953.665825931599	1204.87088803651	874.757031207	0.7261124261926	-0.461735152515954	1.9024103985556e-18	5.99259275545013e-17
"ABCC11"	22.0506265812728	22.944282151291	21.7699105664833	0.95020597104584	-0.0736878222880934	0.596958774032549	0.710364411385844
"ABCC12"	0.799234283182772	3.10081298623137	0.674070393470067	0.553401873883647	-0.853600565796619	0.00694683475951392	0.0144222330333387
"ABCC13"	5.14261960680375	9.11876700187089	5.09645717308945	0.960021672908331	-0.0588611192156208	0.831084735285291	0.905513449263132
"ABCC2"	2218.5597530599	2332.03429840579	2182.91501115009	0.936050504686546	-0.0953417222420108	0.5103966984276	0.627334368966221
